name,type,imdb_score,genre,encoded_type,encoded_genre
Amber Glossop,MOVIE,7.1,comedy,0,3
Robin Davies,MOVIE,7.1,comedy,0,3
Hywel Simons,MOVIE,7.1,comedy,0,3
Roger Morlidge,MOVIE,7.1,comedy,0,3
Daniel Brocklebank,MOVIE,7.1,comedy,0,3
Mark Saban,MOVIE,7.1,comedy,0,3
Timothy Kightley,MOVIE,7.1,comedy,0,3
Roger Frost,MOVIE,7.1,comedy,0,3
Rachel Clarke,MOVIE,7.1,comedy,0,3
Lucy Speed,MOVIE,7.1,comedy,0,3
John Ramm,MOVIE,7.1,comedy,0,3
Paul Bigley,MOVIE,7.1,comedy,0,3
John Madden,MOVIE,7.1,comedy,0,3
Melissa Joan Hart,SHOW,6.7,scifi,1,14
Elisa Donovan,SHOW,6.7,scifi,1,14
Soleil Moon Frye,SHOW,6.7,scifi,1,14
Nick Bakay,SHOW,6.7,scifi,1,14
Steve Burns,SHOW,6.9,comedy,1,3
Donovan Patton,SHOW,6.9,comedy,1,3
Traci Paige Johnson,SHOW,6.9,comedy,1,3
Nick Balaban,SHOW,6.9,comedy,1,3
Jaleel White,SHOW,6.2,action,1,1
Christopher Evan Welch,SHOW,6.2,action,1,1
Long John Baldry,SHOW,6.2,action,1,1
Garry Chalk,SHOW,6.2,action,1,1
Philip Maurice Hayes,SHOW,6.2,action,1,1
Ian James Corlett,SHOW,6.2,action,1,1
Daniel DeSanto,SHOW,8.2,drama,1,6
David Deveau,SHOW,8.2,drama,1,6
Vanessa Lengies,SHOW,8.2,drama,1,6
Kareem Blackwell,SHOW,8.2,drama,1,6
Elisha Cuthbert,SHOW,8.2,drama,1,6
Sean Patrick Flanery,SHOW,7.6,action,1,1
Ronny Coutteure,SHOW,7.6,action,1,1
Lloyd Owen,SHOW,7.6,action,1,1
Margaret Tyzack,SHOW,7.6,action,1,1
Corey Carrier,SHOW,7.6,action,1,1
Ruth de Sosa,SHOW,7.6,action,1,1
Kenneth Branagh,MOVIE,6.8,thriller,0,16
Andy García,MOVIE,6.8,thriller,0,16
Emma Thompson,MOVIE,6.8,thriller,0,16
Richard Easton,MOVIE,6.8,thriller,0,16
Jo Anderson,MOVIE,6.8,thriller,0,16
Robin Williams,MOVIE,6.8,thriller,0,16
Derek Jacobi,MOVIE,6.8,thriller,0,16
Wayne Knight,MOVIE,6.8,thriller,0,16
Hanna Schygulla,MOVIE,6.8,thriller,0,16
Campbell Scott,MOVIE,6.8,thriller,0,16
Christine Ebersole,MOVIE,6.8,thriller,0,16
Vasek Simek,MOVIE,6.8,thriller,0,16
Gregor Hesse,MOVIE,6.8,thriller,0,16
John Gould Rubin,MOVIE,6.8,thriller,0,16
Miriam Margolyes,MOVIE,6.8,thriller,0,16
Kenneth Branagh,MOVIE,6.8,thriller,0,16
Juliette Binoche,MOVIE,7.2,drama,0,6
Alfred Molina,MOVIE,7.2,drama,0,6
Johnny Depp,MOVIE,7.2,drama,0,6
Judi Dench,MOVIE,7.2,drama,0,6
Leslie Caron,MOVIE,7.2,drama,0,6
Carrie-Anne Moss,MOVIE,7.2,drama,0,6
Aurelien Parent Koenig,MOVIE,7.2,drama,0,6
Lena Olin,MOVIE,7.2,drama,0,6
Peter Stormare,MOVIE,7.2,drama,0,6
John Wood,MOVIE,7.2,drama,0,6
Antonio Gil,MOVIE,7.2,drama,0,6
Hélène Cardona,MOVIE,7.2,drama,0,6
Hugh O'Conor,MOVIE,7.2,drama,0,6
Victoire Thivisol,MOVIE,7.2,drama,0,6
Gaelan Connell,MOVIE,7.2,drama,0,6
Élisabeth Commelin,MOVIE,7.2,drama,0,6
Ron Cook,MOVIE,7.2,drama,0,6
Michèle Gleizer,MOVIE,7.2,drama,0,6
Christianne Oliveira,MOVIE,7.2,drama,0,6
Guillaume Tardieu,MOVIE,7.2,drama,0,6
Harrison Pratt,MOVIE,7.2,drama,0,6
Marion Hauducoeur,MOVIE,7.2,drama,0,6
Lasse Hallström,MOVIE,7.2,drama,0,6
Tom Cruise,MOVIE,6.1,thriller,0,16
Dougray Scott,MOVIE,6.1,thriller,0,16
Thandiwe Newton,MOVIE,6.1,thriller,0,16
Ving Rhames,MOVIE,6.1,thriller,0,16
Richard Roxburgh,MOVIE,6.1,thriller,0,16
John Polson,MOVIE,6.1,thriller,0,16
Brendan Gleeson,MOVIE,6.1,thriller,0,16
Rade Šerbedžija,MOVIE,6.1,thriller,0,16
William Mapother,MOVIE,6.1,thriller,0,16
Dominic Purcell,MOVIE,6.1,thriller,0,16
Mathew Wilkinson,MOVIE,6.1,thriller,0,16
Nicholas Bell,MOVIE,6.1,thriller,0,16
Cristina Brogeras,MOVIE,6.1,thriller,0,16
Kee Chan,MOVIE,6.1,thriller,0,16
Kim Fleming,MOVIE,6.1,thriller,0,16
Alan Lovell,MOVIE,6.1,thriller,0,16
Dan Luxton,MOVIE,6.1,thriller,0,16
Christian Manon,MOVIE,6.1,thriller,0,16
Karl McMillan,MOVIE,6.1,thriller,0,16
Lester Morris,MOVIE,6.1,thriller,0,16
Kelly Ons,MOVIE,6.1,thriller,0,16
Nicholas Papademetriou,MOVIE,6.1,thriller,0,16
Brett Partridge,MOVIE,6.1,thriller,0,16
Candice Partridge,MOVIE,6.1,thriller,0,16
Natalie Reis,MOVIE,6.1,thriller,0,16
Daniel Roberts,MOVIE,6.1,thriller,0,16
Sandra Rodríguez,MOVIE,6.1,thriller,0,16
Nada Rogic,MOVIE,6.1,thriller,0,16
Antonio Vargas,MOVIE,6.1,thriller,0,16
Anthony Hopkins,MOVIE,6.1,thriller,0,16
Alison Araya,MOVIE,6.1,thriller,0,16
Rebecca Barratt,MOVIE,6.1,thriller,0,16
Douglas Bunn,MOVIE,6.1,thriller,0,16
Caine,MOVIE,6.1,thriller,0,16
Fred Chen,MOVIE,6.1,thriller,0,16
Mark Connolly,MOVIE,6.1,thriller,0,16
Ryder Davis,MOVIE,6.1,thriller,0,16
Alan Hennessy,MOVIE,6.1,thriller,0,16
Patrick Marber,MOVIE,6.1,thriller,0,16
William Morts,MOVIE,6.1,thriller,0,16
Tory Mussett,MOVIE,6.1,thriller,0,16
Paul Roget,MOVIE,6.1,thriller,0,16
Shant Sarkissian,MOVIE,6.1,thriller,0,16
Darren Dupree Washington,MOVIE,6.1,thriller,0,16
John Woo,MOVIE,6.1,thriller,0,16
David James Elliott,SHOW,6.6,action,1,1
Catherine Bell,SHOW,6.6,action,1,1
Zoe McLellan,SHOW,6.6,action,1,1
Patrick Labyorteaux,SHOW,6.6,action,1,1
Karri Turner,SHOW,6.6,action,1,1
D.B. Sweeney,MOVIE,6.5,drama,0,6
Robert Patrick,MOVIE,6.5,drama,0,6
Craig Sheffer,MOVIE,6.5,drama,0,6
Peter Berg,MOVIE,6.5,drama,0,6
Henry Thomas,MOVIE,6.5,drama,0,6
Bradley Gregg,MOVIE,6.5,drama,0,6
Noble Willingham,MOVIE,6.5,drama,0,6
Kathleen Wilhoite,MOVIE,6.5,drama,0,6
James Garner,MOVIE,6.5,drama,0,6
Georgia Emelin,MOVIE,6.5,drama,0,6
Scott MacDonald,MOVIE,6.5,drama,0,6
Wayne Grace,MOVIE,6.5,drama,0,6
Kenneth White,MOVIE,6.5,drama,0,6
Robert Covarrubias,MOVIE,6.5,drama,0,6
Bruce Wright,MOVIE,6.5,drama,0,6
Natasha Henry,MOVIE,6.5,drama,0,6
Dana Walton,MOVIE,6.5,drama,0,6
Eric Wilsey,MOVIE,6.5,drama,0,6
Scott M. Seekins,MOVIE,6.5,drama,0,6
Shinichi Mine,MOVIE,6.5,drama,0,6
Ronald Lee Marriott,MOVIE,6.5,drama,0,6
Rob Lieberman,MOVIE,6.5,drama,0,6
Matthew Broderick,MOVIE,7.3,comedy,0,3
Reese Witherspoon,MOVIE,7.3,comedy,0,3
Chris Klein,MOVIE,7.3,comedy,0,3
