release_year,imdb_score,encoded_type,encoded_genre
1949,4.7,0,1
1939,5.0,0,6
1936,5.0,0,16
1946,5.5,0,6
1940,6.3,0,18
1939,5.8,0,18
1940,5.7,0,3
1946,5.7,0,6
1935,6.3,0,3
1946,5.9,0,16
1944,6.0,0,4
1931,6.1,0,13
1938,4.6,0,3
1919,6.3,0,6
1947,5.9,0,4
1939,5.7,0,3
1933,5.6,0,4
1936,5.1,0,6
1940,5.6,0,16
1924,6.1,0,6
1940,5.9,0,6
1946,6.0,0,13
1944,5.4,0,6
1936,5.6,0,16
1937,6.0,0,18
1925,5.7,0,6
1942,7.0,0,18
1937,4.8,0,16
1940,6.8,0,18
1939,4.5,0,6
1941,5.9,0,4
1940,6.2,0,18
1923,6.5,0,6
1946,6.5,0,6
1942,5.6,0,3
1933,5.6,0,16
1937,5.5,0,18
1938,5.5,0,4
1912,5.8,0,6
1935,5.8,0,18
1942,5.2,0,3
1942,6.3,0,18
1935,5.4,0,18
1918,5.4,0,6
1936,6.0,0,18
1939,6.0,0,13
1921,6.4,0,6
1937,4.9,0,4
1925,6.8,0,3
1938,5.5,0,6
1941,5.3,0,4
1942,6.3,0,18
1935,5.1,0,18
1946,5.8,0,6
1933,5.2,0,3
1935,5.3,0,18
1930,5.0,0,13
1938,6.1,0,4
1937,5.4,0,13
1915,5.8,0,3
1933,4.8,0,16
1944,6.2,0,6
1947,5.7,0,13
1936,5.5,0,6
1933,5.5,0,16
1944,5.2,0,18
1932,5.4,0,18
1927,6.3,0,6
1940,5.5,0,6
1917,6.3,0,6
1941,5.4,0,16
1937,5.6,0,6
1946,5.2,0,3
1936,5.1,0,18
1943,6.0,0,18
1949,5.3,0,6
1946,5.4,0,16
1944,5.9,0,3
1932,6.2,0,6
1933,5.7,0,6
1941,5.1,0,6
1942,6.3,0,18
1943,6.0,0,18
1942,6.4,0,18
1942,4.4,0,1
1935,5.4,0,13
1941,5.4,0,4
1937,5.6,0,18
1934,6.0,0,3
1924,6.2,0,18
1938,5.4,0,11
1939,6.0,0,4
1932,5.3,0,18
1931,5.7,0,18
1936,4.9,0,1
1933,4.0,0,16
1942,5.2,0,18
1918,6.5,0,6
1925,5.0,0,18
1944,5.4,0,3
1940,6.0,0,18
1943,5.5,0,6
1933,4.8,0,18
1931,6.0,0,13
1931,5.9,0,3
1942,5.1,0,18
1943,6.2,0,18
1940,5.6,0,4
1940,5.6,0,18
1937,5.7,0,18
1940,6.4,0,3
1932,4.7,0,1
1938,5.7,0,1
1932,5.2,0,18
1941,6.3,0,18
1937,6.1,0,18
1929,5.4,0,6
1942,5.6,0,6
1944,6.0,0,18
1927,6.6,0,18
1943,5.7,0,18
1926,7.0,0,3
1928,4.7,0,18
1936,4.4,0,6
1938,5.7,0,4
1944,6.7,0,5
1938,6.1,0,4
1940,5.4,0,18
1941,5.8,0,3
1939,4.6,0,13
1932,5.1,0,6
1945,6.8,0,3
1937,4.7,0,18
1925,7.2,0,3
1941,6.5,0,3
1934,4.2,0,14
1936,5.7,0,18
1932,5.1,0,6
1947,4.7,0,5
1944,6.3,0,18
1938,6.1,0,18
1943,5.9,0,18
1936,5.8,0,18
1921,6.0,0,6
1935,4.8,0,1
1939,5.2,0,6
1943,5.2,0,18
1937,5.7,0,18
1942,6.2,0,18
1934,5.5,0,6
1943,6.1,0,6
1949,5.9,0,13
1936,5.2,0,16
1945,5.8,0,3
1950,5.9,0,6
1930,5.8,0,6
1949,5.0,0,6
1940,5.5,0,18
1948,6.0,0,13
1941,5.2,0,6
1936,5.3,0,16
1946,5.7,0,18
1937,5.4,0,18
1940,5.1,0,6
1947,6.0,0,3
1941,6.7,0,18
1940,6.2,0,18
1939,5.1,0,18
1936,4.2,0,1
1934,5.2,0,1
1937,6.0,0,18
1932,6.1,0,6
1941,6.0,0,3
1941,4.9,0,16
1936,4.9,0,18
1939,6.1,0,4
1946,7.1,0,18
1939,6.2,0,3
1936,5.0,0,3
1940,5.9,0,16
1944,5.8,0,18
1937,5.7,0,4
1938,6.5,0,18
1937,5.8,0,1
1937,6.1,0,13
1949,7.2,0,6
1944,5.6,0,18
1937,4.7,0,1
1927,6.9,0,18
1937,5.8,0,18
1945,5.7,0,18
1942,5.2,0,16
1942,6.1,0,18
1944,5.7,0,3
1947,6.0,0,18
1937,5.9,0,18
1922,6.1,0,6
1947,6.3,0,11
1937,5.7,0,18
1939,6.1,0,3
1937,4.5,0,18
1939,6.7,0,18
1938,6.5,0,18
1937,6.2,0,18
1941,4.1,0,6
1926,6.0,0,18
1939,5.6,0,18
1944,5.1,0,18
1944,5.3,0,18
1935,6.0,0,18
1942,5.8,0,3
1945,5.6,0,18
1935,5.8,0,6
1935,4.9,0,18
1941,5.0,0,3
1931,5.6,0,1
1938,5.0,0,13
1938,6.0,0,6
1939,4.6,0,4
1940,5.8,0,3
1936,5.9,0,3
1936,6.2,0,18
1932,5.3,0,1
1932,6.4,0,6
1936,5.9,0,18
1938,5.6,0,3
1941,4.7,0,18
1936,4.6,0,6
1936,5.4,0,18
1944,6.2,0,3
1938,5.6,0,18
1941,4.7,0,3
1938,5.6,0,6
1936,5.1,0,1
1932,5.8,0,18
1943,4.9,0,6
1931,5.4,0,16
1934,5.4,0,1
1935,5.2,0,18
1939,4.8,0,18
1944,5.3,0,18
1942,4.6,0,5
1930,3.8,0,18
1944,6.0,0,18
1944,6.3,0,17
1936,5.4,0,18
1937,5.7,0,18
1972,9.2,0,6
1959,9.1,1,14
1966,8.4,1,14
1974,9.0,0,6
1978,7.2,0,13
1968,8.5,0,18
1951,8.5,1,3
1974,7.8,0,6
1974,7.3,1,3
